Player,Pos,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,SCA,SCA90,_TakeOn
"Rhian Brewster (Sheffield Utd)","FW,MF",23,0,10,28,34,27,21,27
"Bennit Bröger (Wolfsburg)",FW,14,0,0,0,0,0,0,0
"Armando Broja (Chelsea)",FW,61,61,40,28,59,29,17,29
"Armando Broja (Fulham)",FW,26,21,16,18,0,9,11,9
"David Brooks (Bournemouth)","FW,MF",33,33,34,44,18,46,96,46
"Moritz Broschinski (Bochum)",FW,61,56,54,47,62,60,40,60
"Jacob Brown (Luton Town)","MF,FW",55,41,62,56,62,40,14,40
"Jacob Bruun Larsen (Burnley)","MF,FW",80,75,85,65,91,71,65,71
"Ante Budimir (Osasuna)",FW,61,53,58,52,78,68,16,68
"Marius Bülter (Hoffenheim)","DF,FW",76,72,73,78,71,73,63,73
"Facundo Buonanotte (Brighton)","FW,MF",78,72,60,73,59,64,42,64
"Jonathan Burkardt (Mainz 05)","FW,MF",80,79,72,73,64,67,38,67
"Oliver Burke (Werder Bremen)",FW,9,14,16,12,0,0,0,0
"Rareș-Cătălin Burnete (Lecce)",FW,0,0,0,0,0,0,0,0
"Mason Burstow (Chelsea)",FW,0,0,0,0,0,0,0,0
"Maxime Busi (Reims)","FW,DF",21,28,20,18,34,25,66,25
"Jamie Bynoe-Gittens (Dortmund)","FW,MF",93,93,86,89,94,71,78,71
"Rémy Cabella (Lille)","FW,MF",76,76,89,91,83,87,88,87
"Jovane Cabral (Salernitana)","MF,FW",67,76,59,47,55,51,65,51
"José Callejón (Granada)","MF,FW",32,28,38,47,18,60,73,60
"Dominic Calvert-Lewin (Everton)",FW,73,63,72,66,83,76,33,76
"Francesco Camarda (Milan)",FW,9,0,0,0,0,0,0,0
"Nicolò Cambiaghi (Empoli)","FW,MF",90,84,98,90,96,92,63,92
"Andrea Cambiaso (Juventus)","DF,FW",82,82,93,91,84,88,56,88
"Axel Camblan (Brest)",FW,30,28,26,28,0,14,26,14
"Sergio Camello (Rayo Vallecano)",FW,77,68,59,65,64,71,41,71
"Matteo Cancellieri (Empoli)","FW,MF",93,90,79,82,89,76,49,76
"Antonio Candreva (Salernitana)","MF,FW",71,65,88,88,79,97,78,97
"Thomas Cannon (Everton)",FW,0,0,0,0,0,0,0,0
"Sergi Canós (Valencia)","MF,FW",68,72,69,53,67,58,37,58
"Luigi Canotto (Frosinone)",FW,9,14,0,0,0,0,0,0
"Gianluca Caprari (Monza)","MF,FW",30,28,40,44,45,40,91,40
"Francesco Caputo (Empoli)",FW,33,37,31,35,39,52,22,52
"Valentin Carboni (Monza)","MF,FW",77,80,81,80,79,68,62,68
"Marc Cardona (Las Palmas)",FW,65,63,38,28,39,40,24,40
"Álvaro Carreras (Granada)","MF,FW",40,44,45,56,18,41,62,41
"Rasmus Carstensen (Köln)","DF,FW",60,61,69,74,34,65,29,65
"Cesare Casadei (Chelsea)","FW,MF",14,21,10,0,0,20,88,20
"Josué Casimir (Le Havre)","FW,DF",84,79,85,81,83,75,36,75
"Giuseppe Caso (Frosinone)","FW,MF",67,65,48,56,50,36,45,36
"Valentín Castellanos (Lazio)",FW,68,56,48,53,55,72,44,72
"Samu Castillejo (Sassuolo)","FW,MF",47,51,64,71,55,52,87,52
"Santiago Castro (Bologna)",FW,18,21,10,18,0,0,0,0
"Gaetano Castrovilli (Fiorentina)","FW,MF",40,28,46,41,27,34,40,34
"Ivan Cavaleiro (Lille)",FW,45,53,54,56,45,43,29,43
"Dani Ceballos (Real Madrid)","MF,FW",42,37,50,61,18,51,75,51
"Emil Ceide (Sassuolo)","FW,MF",49,61,43,35,45,27,71,27
"Václav Černý (Wolfsburg)","FW,MF",64,63,63,64,64,58,60,58
"Alberto Cerri (Empoli)",FW,26,14,20,38,18,29,14,29
"Fares Chaïbi (Toulouse)","FW,MF",14,0,16,12,0,17,88,17
"Fares Chaïbi (Eint Frankfurt)","MF,FW",48,44,82,84,69,89,76,89
"Muhammed Cham (Clermont Foot)","MF,FW",84,88,89,98,71,97,82,97
"Walid Cheddira (Frosinone)",FW,67,58,68,56,83,64,17,64
"Rayan Cherki (Lyon)","MF,FW",98,99,94,97,91,95,94,95
"Youssef Chermiti (Everton)",FW,35,28,26,12,34,27,58,27
"Federico Chiesa (Juventus)",FW,92,89,96,92,98,96,89,96
"Tawanda Chirewa (Wolves)","MF,FW",18,14,10,18,18,17,22,17
"Leon Chiwome (Wolves)",FW,0,0,10,0,18,9,9,9
"Tahith Chong (Luton Town)","MF,FW",86,81,84,88,62,73,32,73
"Carney Chukwuemeka (Chelsea)","MF,FW",37,21,24,32,27,32,70,32
"Samuel Chukwueze (Milan)",FW,83,76,81,74,85,72,83,72
"Alphadjo Cissè (Hellas Verona)",FW,0,0,0,0,0,0,0,0
"Ibrahim Cissoko (Toulouse)","FW,MF",60,70,58,44,71,40,94,40
"Marcus Coco (Nantes)","DF,FW",61,58,65,78,18,56,21,56
"Lorenzo Colombo (Monza)",FW,52,58,50,44,71,53,22,53
"Andrea Colpani (Monza)","MF,FW",89,83,93,96,88,97,81,97
"Kingsley Coman (Bayern Munich)",FW,85,84,90,81,92,81,91,81
"Pietro Comuzzo (Fiorentina)","DF,FW",0,0,0,0,0,0,0,0
"Alois Confais (Le Havre)","MF,FW",0,0,0,0,0,0,0,0
"Bambasé Conté (Hoffenheim)","MF,FW",26,21,20,18,27,9,22,9
"Theo Corbeanu (Granada)","MF,FW",30,21,26,28,0,20,21,20
"Jeppe Corfitzen (Lecce)",FW,0,0,10,12,0,0,0,0
"Maxwel Cornet (West Ham)","MF,FW",14,0,20,18,27,23,80,23
"Giacomo Corona (Empoli)",FW,0,0,0,0,0,0,0,0
"Ángel Correa (Atlético Madrid)","FW,MF",80,83,75,59,87,83,79,83
"Joaquín Correa (Marseille)","FW,MF",42,37,36,47,27,36,42,36
"Oscar Cortés (Lens)","FW,MF",0,0,10,0,0,9,27,9
"João Costa (Roma)","MF,FW",0,0,0,0,0,14,99,14
"Tanguy Coulibaly (Montpellier)","FW,MF",56,70,64,71,73,46,54,46
"Philippe Coutinho (Aston Villa)","MF,FW",23,33,26,28,0,14,97,14
"Yan Couto (Girona)","DF,FW",96,95,99,99,95,77,33,77
"Aaron Cresswell (West Ham)","DF,FW",9,0,24,32,0,36,41,36
"Juan Cruz (Hellas Verona)","FW,MF",14,14,20,18,0,17,41,17
"Juan Cruz (Betis)",FW,28,33,16,24,0,23,95,23
"Matheus Cunha (Wolves)","FW,MF",98,98,95,98,93,88,53,88
"Marvin Cuni (Frosinone)",FW,40,28,28,32,27,41,53,41
"Tomáš Čvančara (Gladbach)",FW,43,37,43,38,55,46,26,46
"Trévis Dago (Lille)","FW,MF",9,14,10,12,0,14,98,14
"Thijs Dallinga (Toulouse)",FW,68,75,69,71,62,73,20,73
"Arnaut Danjuma (Everton)","MF,FW",49,47,62,57,67,43,49,43
"Jayden Danns (Liverpool)",FW,0,0,0,12,0,0,0,0
"Mohammed Daramy (Reims)","FW,MF",92,96,89,87,91,79,62,79
"Achraf Dari (Brest)","DF,FW",0,0,0,0,0,9,10,9
"Lukas Daschner (Bochum)","MF,FW",50,58,40,49,34,46,66,46
"Josh Dasilva (Brentford)","DF,FW",21,21,16,0,27,9,74,9
"David Datro Fofana (Burnley)",FW,71,65,58,44,67,43,21,43
"David Datro Fofana (Union Berlin)","FW,MF",77,74,57,59,71,53,73,53
"Jonathan David (Lille)",FW,70,65,78,80,83,87,46,87
"Keinan Davis (Udinese)","FW,MF",23,28,16,12,34,35,93,35
"Charles De Ketelaere (Atalanta)","FW,MF",91,91,93,90,95,92,81,92
"Grégoire Defrel (Sassuolo)","FW,MF",38,33,31,38,27,44,34,44
"Romain Del Castillo (Brest)",FW,99,99,95,99,82,100,95,100
"Sacha Delaye (Montpellier)","MF,FW",18,21,16,28,18,25,82,25
"Karamoko Dembele (Brest)","MF,FW",0,0,0,18,0,9,92,9
"Ousmane Dembélé (Paris S-G)","MF,FW",98,98,99,100,97,96,97,96
"Jessy Deminguet (Strasbourg)","MF,FW",28,21,31,47,18,29,11,29
"Ermedin Demirović (Augsburg)","FW,MF",84,84,65,65,67,85,34,85
"Mattia Destro (Empoli)","FW,MF",21,14,24,24,34,20,11,20
"Federico Di Francesco (Lecce)","FW,MF",9,0,10,0,0,9,95,9
"Boulaye Dia (Salernitana)","FW,MF",73,63,54,61,50,52,27,52
"Moussa Diaby (Aston Villa)","FW,MF",86,84,94,86,94,89,65,89
"Mamadou Diakhon (Reims)","FW,MF",48,41,40,18,45,20,19,20
"Oumar Diakité (Reims)",FW,83,81,66,66,82,67,36,67
"Amad Diallo (Manchester Utd)","FW,MF",52,56,40,52,39,46,88,46
"Assane Diao (Betis)",FW,80,72,70,73,73,49,25,49
"Habib Diarra (Strasbourg)","MF,FW",82,88,85,95,64,74,25,74
"Krépin Diatta (Monaco)","DF,FW",74,84,79,77,64,67,59,67
"Brahim Díaz (Real Madrid)","FW,MF",94,97,90,94,91,86,85,86
"Luis Díaz (Liverpool)",FW,98,98,98,98,99,99,94,99
"Famara Diedhiou (Granada)","FW,MF",23,33,26,24,27,27,97,27
"Justin Diehl (Köln)","FW,MF",42,47,28,18,45,35,95,35
"Bamba Dieng (Lorient)",FW,35,28,26,18,34,44,60,44
"Florian Dietz (Köln)","FW,MF",0,0,0,12,0,20,92,20
"Eren Dinkçi (Heidenheim)","FW,MF",92,92,92,93,83,90,55,90
"Sofiane Diop (Nice)",FW,50,41,57,62,50,41,59,41
"Ben Doak (Liverpool)",FW,0,0,0,0,0,0,0,0
"Jeremy Doku (Manchester City)","FW,MF",99,99,100,94,100,96,96,96
"Jeremy Doku (Rennes)",FW,32,51,40,35,55,32,97,32
"Mario Dominguez (Valencia)",FW,0,0,0,0,0,0,0,0
"Nicolás Domínguez (Nott'ham Forest)","MF,FW",44,44,46,53,27,61,29,61
"Jamie Donley (Tottenham)",FW,9,0,0,0,0,0,0,0
"Abdoulaye Doucouré (Everton)","FW,MF",76,81,83,83,78,83,35,83
"Siriné Doucouré (Lorient)",FW,55,61,46,38,69,38,51,38
"Désiré Doué (Rennes)","MF,FW",94,98,91,97,90,91,90,91
"Anastasios Douvikas (Celta Vigo)",FW,50,51,38,35,50,46,25,46
"Artem Dovbyk (Girona)",FW,55,70,54,38,77,78,25,78
"Nikola Dovedan (Heidenheim)","MF,FW",52,47,43,49,39,49,61,49
"Damion Downs (Köln)","FW,MF",21,14,10,12,18,20,25,20
"Dion Drena Beljo (Augsburg)","FW,MF",53,56,50,53,50,47,63,47
"Marvin Ducksch (Werder Bremen)",FW,58,58,52,65,55,95,73,95
"Jhon Durán (Aston Villa)","FW,MF",23,21,36,32,45,36,34,36
"Julien Duranville (Dortmund)","FW,MF",23,28,16,12,18,0,0,0
"Hugo Duro (Valencia)",FW,71,61,64,65,71,73,16,73
"Paulo Dybala (Roma)","FW,MF",88,83,91,94,90,92,85,92
"Aron Dønnum (Toulouse)","FW,MF",87,87,88,83,82,76,57,76
"George Earthy (West Ham)",FW,0,0,0,12,0,14,92,14
"Odsonne Édouard (Crystal Palace)","FW,MF",78,74,70,62,87,70,45,70
"Hugo Ekitike (Paris S-G)",FW,0,0,0,0,18,0,0,0
"Hugo Ekitike (Eint Frankfurt)",FW,70,72,50,44,62,53,69,53
"Emmanuel Ekong (Empoli)",FW,18,0,0,0,0,9,99,9
"Caleb Ekuban (Genoa)",FW,50,53,46,41,62,61,51,61
"Anthony Elanga (Nott'ham Forest)","FW,MF",88,83,95,92,95,84,45,84
"Simon Elisor (Metz)",FW,45,37,36,41,45,44,33,44
"Harvey Elliott (Liverpool)","MF,FW",48,51,77,89,62,88,92,88
"Elif Elmas (Napoli)","FW,MF",38,41,46,53,39,32,38,32
"Elif Elmas (RB Leipzig)","MF,FW",33,37,36,38,39,27,37,27
"Adri Embarba (Almería)","FW,MF",96,94,94,92,85,95,78,95
"Breel Embolo (Monaco)",FW,28,33,34,32,50,34,90,34
"Emanuel Emegha (Strasbourg)",FW,65,53,62,64,71,53,13,53
"Youssef En-Nesyri (Sevilla)",FW,67,56,52,47,67,48,10,48
"Julio Enciso (Brighton)","MF,FW",59,70,65,65,55,49,85,49
"Oscar Estupiñan (Metz)",FW,14,14,26,24,0,14,10,14
"Karl Etta (Cádiz)",FW,0,0,0,0,0,0,0,0
"Eberechi Eze (Crystal Palace)","MF,FW",98,98,88,94,95,95,89,95
"Abde Ezzalzouli (Barcelona)","FW,MF",21,21,31,24,39,14,47,14
"Abde Ezzalzouli (Betis)",FW,78,76,84,81,92,46,29,46
