Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
145,357,Mohamed Bouchenna (Clermont Foot),FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,0.3,23,21,0,12,18
146,361,Benjamin Bourigeaud (Rennes),FRA,"MF,FW",Rennes,Ligue 1,29,1994,26.9,53,53,64,84,39
147,362,Bilal Boutobba (Clermont Foot),FRA,"FW,MF",Clermont Foot,Ligue 1,24,1998,10.3,75,68,74,76,67
148,363,Hugo Boutsingkham (Nantes),FRA,"MF,FW",Nantes,Ligue 1,20,2003,0.1,9,0,0,0,0
149,365,Jarrod Bowen (West Ham),ENG,FW,West Ham,Premier League,26,1996,33.5,93,88,93,85,97
150,366,Lucas Boyé (Granada),ARG,FW,Granada,La Liga,27,1996,28.2,97,96,72,86,77
151,369,Bilal Brahimi (Nice),ALG,FW,Nice,Ligue 1,23,2000,0.1,9,0,10,0,18
152,370,Bilal Brahimi (Brest),ALG,"FW,MF",Brest,Ligue 1,23,2000,2.5,43,51,48,47,45
153,372,Julian Brandt (Dortmund),GER,"MF,FW",Dortmund,Bundesliga,27,1996,24.7,85,83,90,93,78
154,380,Josip Brekalo (Fiorentina),CRO,FW,Fiorentina,Serie A,25,1998,7.2,45,47,46,49,55
155,382,Brenner (Udinese),BRA,"MF,FW",Udinese,Serie A,23,2000,2.1,26,21,28,28,18
156,383,Ben Brereton (Sheffield Utd),CHI,"FW,MF",Sheffield Utd,Premier League,24,1999,12.3,58,53,60,57,80
157,384,Ben Brereton (Villarreal),CHI,"FW,MF",Villarreal,La Liga,24,1999,3,33,21,28,52,34
158,386,Maximilian Breunig (Freiburg),GER,FW,Freiburg,Bundesliga,22,2000,0.1,0,0,0,0,0
159,387,Rhian Brewster (Sheffield Utd),ENG,"FW,MF",Sheffield Utd,Premier League,23,2000,3.8,23,0,10,28,34
160,388,Bennit Bröger (Wolfsburg),GER,FW,Wolfsburg,Bundesliga,17,2006,0.1,14,0,0,0,0
161,389,Armando Broja (Chelsea),ALB,FW,Chelsea,Premier League,21,2001,5,61,61,40,28,59
162,390,Armando Broja (Fulham),ALB,FW,Fulham,Premier League,21,2001,1,26,21,16,18,0
163,393,David Brooks (Bournemouth),WAL,"FW,MF",Bournemouth,Premier League,26,1997,3.1,33,33,34,44,18
164,395,Moritz Broschinski (Bochum),GER,FW,Bochum,Bundesliga,22,2000,13.9,61,56,54,47,62
165,396,Jacob Brown (Luton Town),SCO,"MF,FW",Luton Town,Premier League,25,1998,11.3,55,41,62,56,62
