Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,PK,PK_Att,Y_Card,R_Card,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgPR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
769,769,Damion Downs,USA,"FW,MF",Köln,Bundesliga,19,2004,10,0,181,2,2,0,2,2,0,0,0,0,1,1,0,1,1,0,5,0.99,0,0.99,0.99,0.99,0.51,0,0.51,0.51,0.51
770,770,Tommy Doyle,ENG,MF,Wolves,Premier League,21,2001,26,11,1222,13.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,21,81,17,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
771,771,Radu Drăgușin,ROU,DF,Tottenham,Premier League,21,2002,9,4,429,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,5,8,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03
772,772,Radu Drăgușin,ROU,DF,Genoa,Serie A,21,2002,19,19,1710,19,2,1,3,2,0,0,1,0,1,1,0.8,1.9,6,29,13,0.11,0.05,0.16,0.11,0.16,0.05,0.04,0.1,0.05,0.1
773,773,Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21,2002,26,3,581,6.5,2,0,2,2,0,0,2,0,3,3,0.5,3.5,16,20,35,0.31,0,0.31,0.31,0.31,0.46,0.08,0.54,0.46,0.54
774,774,Tim Drexler,GER,DF,Hoffenheim,Bundesliga,18,2005,8,6,573,6.4,0,0,0,0,0,0,1,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0
775,775,Domingos Duarte,POR,DF,Getafe,La Liga,28,1995,15,11,907,10.1,0,0,0,0,0,0,5,2,0.3,0.3,0.1,0.4,7,47,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
776,776,Rubén Duarte,ESP,DF,Alavés,La Liga,27,1995,28,21,1878,20.9,2,1,3,2,0,0,7,0,0.7,0.7,1.5,2.2,16,81,39,0.1,0.05,0.14,0.1,0.14,0.03,0.07,0.1,0.03,0.1
777,777,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,34,1989,23,22,1985,22.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
778,778,Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,29,1994,33,32,2696,30,12,9,21,7,5,6,9,0,12.8,7.9,7.8,15.7,17,88,150,0.4,0.3,0.7,0.23,0.53,0.43,0.26,0.69,0.26,0.52
779,779,Ondrej Duda,SVK,MF,Hellas Verona,Serie A,28,1994,32,29,2456,27.3,1,4,5,1,0,1,14,2,2.2,1.4,3.3,4.7,34,117,47,0.04,0.15,0.18,0.04,0.18,0.08,0.12,0.2,0.05,0.17
780,780,Denzel Dumfries,NED,DF,Inter,Serie A,27,1996,31,19,1639,18.2,4,4,8,4,0,0,2,1,2.3,2.3,4.9,7.1,50,51,147,0.22,0.22,0.44,0.22,0.44,0.12,0.27,0.39,0.12,0.39
781,781,Paul Dummett,WAL,DF,Newcastle Utd,Premier League,31,1991,5,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11
782,782,Alfred Duncan,GHA,MF,Fiorentina,Serie A,30,1993,30,24,1888,21,2,5,7,2,0,0,2,0,1.5,1.5,2,3.5,23,133,47,0.1,0.24,0.33,0.1,0.33,0.07,0.1,0.17,0.07,0.17
783,783,Lewis Dunk,ENG,DF,Brighton,Premier League,31,1991,33,33,2869,31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4,33,152,13,0.09,0.03,0.13,0.09,0.13,0.1,0.03,0.12,0.1,0.12
784,784,Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,19,2003,23,3,475,5.3,5,0,5,5,0,0,5,0,2,2,0.3,2.3,9,9,25,0.95,0,0.95,0.95,0.95,0.38,0.06,0.44,0.38,0.44
785,785,Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,17,2006,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
786,786,Hugo Duro,ESP,FW,Valencia,La Liga,23,1999,37,35,2976,33.1,13,2,15,13,0,0,4,0,11.5,11.5,1.3,12.9,27,34,157,0.39,0.06,0.45,0.39,0.45,0.35,0.04,0.39,0.35,0.39
787,787,Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,26,1997,19,15,1348,15,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,18,64,23,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
788,788,Paulo Dybala,ARG,"FW,MF",Roma,Serie A,29,1993,28,25,1959,21.8,13,9,22,6,7,7,3,0,10.6,5.1,4.3,9.4,79,122,167,0.6,0.41,1.01,0.28,0.69,0.49,0.2,0.68,0.23,0.43
789,789,Aron Dønnum,NOR,"FW,MF",Toulouse,Ligue 1,25,1998,27,19,1595,17.7,0,1,1,0,0,0,8,0,1,1,2.1,3.1,69,66,120,0,0.06,0.06,0,0.06,0.06,0.12,0.18,0.06,0.18
790,790,George Earthy,ENG,FW,West Ham,Premier League,18,2004,3,0,34,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,1,3,2.65,0,2.65,2.65,2.65,0.82,0,0.82,0.82,0.82
791,791,Simon Ebonog,CMR,MF,Le Havre,Ligue 1,18,2004,4,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
792,792,Festy Ebosele,IRL,DF,Udinese,Serie A,20,2002,31,20,1700,18.9,0,0,0,0,0,0,6,1,0.8,0.8,1.8,2.6,67,35,98,0,0,0,0,0,0.04,0.1,0.14,0.04,0.14
793,793,Enzo Ebosse,CMR,DF,Udinese,Serie A,24,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
794,794,Tyronne Ebuehi,NGA,DF,Empoli,Serie A,27,1995,15,11,1099,12.2,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,34,37,35,0,0.08,0.08,0,0.08,0.02,0.07,0.1,0.02,0.1
795,795,Ederson,BRA,GK,Manchester City,Premier League,29,1993,33,33,2785,30.9,0,0,0,0,0,0,5,0,0,0,0.1,0.1,0,4,0,0,0,0,0,0,0,0,0,0,0
796,796,Éderson,BRA,MF,Atalanta,Serie A,24,1999,36,32,2869,31.9,6,1,7,6,0,0,8,0,3.5,3.5,1.4,4.9,32,214,50,0.19,0.03,0.22,0.19,0.22,0.11,0.04,0.15,0.11,0.15
797,797,Odsonne Édouard,FRA,"FW,MF",Crystal Palace,Premier League,25,1998,30,17,1555,17.3,7,0,7,7,0,0,4,0,6.2,6.2,1.2,7.4,33,36,100,0.41,0,0.41,0.41,0.41,0.36,0.07,0.43,0.36,0.43
798,798,John Egan,IRL,DF,Sheffield Utd,Premier League,30,1992,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,5,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03
799,799,Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,26,1996,33,33,2914,32.4,1,2,3,1,0,0,6,0,2.4,2.4,2.8,5.2,42,162,72,0.03,0.06,0.09,0.03,0.09,0.07,0.09,0.16,0.07,0.16
800,800,Lilian Egloff,GER,"MF,DF",Stuttgart,Bundesliga,20,2002,5,1,106,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,2,2,0,0,0,0,0,0.15,0,0.15,0.15,0.15
801,801,Kingsley Ehizibue,NED,DF,Udinese,Serie A,28,1995,23,11,955,10.6,0,1,1,0,0,0,4,0,1.3,1.3,0.7,2,18,15,44,0,0.09,0.09,0,0.09,0.12,0.07,0.19,0.12,0.19
802,802,Hjalmar Ekdal,SWE,DF,Burnley,Premier League,24,1998,8,5,437,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,5,11,1,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03
803,803,Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,21,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0.3,0.3,0,0.3
804,804,Hugo Ekitike,FRA,FW,Eint Frankfurt,Bundesliga,21,2002,14,7,716,8,4,2,6,4,0,0,3,0,2.4,2.4,1.7,4.1,16,9,60,0.5,0.25,0.75,0.5,0.75,0.3,0.21,0.51,0.3,0.51
805,805,Emmanuel Ekong,SWE,FW,Empoli,Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.19,0.19,0,0.19
806,806,Caleb Ekuban,GHA,FW,Genoa,Serie A,29,1994,29,10,1131,12.6,4,1,5,4,0,0,0,0,2.9,2.9,1.4,4.2,14,15,93,0.32,0.08,0.4,0.32,0.4,0.23,0.11,0.34,0.23,0.34
807,807,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,Premier League,21,2002,36,25,2433,27,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49
808,808,Simon Elisor,FRA,FW,Metz,Ligue 1,24,1999,14,9,767,8.5,1,0,1,1,0,1,1,0,2.3,1.5,0.9,2.4,9,14,43,0.12,0,0.12,0.12,0.12,0.27,0.11,0.38,0.18,0.29
809,809,Harvey Elliott,ENG,"MF,FW",Liverpool,Premier League,20,2003,34,11,1352,15,3,6,9,3,0,0,2,0,2.7,2.7,3.5,6.2,44,128,122,0.2,0.4,0.6,0.2,0.6,0.18,0.23,0.42,0.18,0.42
810,810,Elif Elmas,MKD,"FW,MF",Napoli,Serie A,23,1999,11,4,339,3.8,2,0,2,2,0,0,2,0,0.5,0.5,0.2,0.7,14,16,26,0.53,0,0.53,0.53,0.53,0.13,0.06,0.19,0.13,0.19
811,811,Elif Elmas,MKD,"MF,FW",RB Leipzig,Bundesliga,23,1999,14,2,266,3,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,9,9,18,0,0,0,0,0,0.27,0.04,0.31,0.27,0.31
812,812,Mohamed Elneny,EGY,MF,Arsenal,Premier League,31,1992,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26
813,813,Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,29,1994,15,7,812,9,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,4,31,2,0,0.11,0.11,0,0.11,0.03,0.07,0.1,0.03,0.1
814,814,Nico Elvedi,SUI,DF,Gladbach,Bundesliga,26,1996,30,28,2482,27.6,2,1,3,2,0,0,5,0,1.6,1.6,0.1,1.7,37,109,6,0.07,0.04,0.11,0.07,0.11,0.06,0,0.06,0.06,0.06
815,815,Adri Embarba,ESP,"FW,MF",Almería,La Liga,31,1992,36,29,2476,27.5,3,2,5,2,1,1,5,0,4.3,3.5,4.4,8,94,58,167,0.11,0.07,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29
816,816,Breel Embolo,SUI,FW,Monaco,Ligue 1,26,1997,5,2,182,2,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,8,7,20,0.49,0,0.49,0.49,0.49,0.35,0.06,0.41,0.35,0.41
817,817,Emanuel Emegha,NED,FW,Strasbourg,Ligue 1,20,2003,28,23,2078,23.1,8,1,9,8,0,1,3,0,10.8,10,0.4,10.4,24,11,115,0.35,0.04,0.39,0.35,0.39,0.47,0.02,0.49,0.43,0.45
818,818,Emerson,BRA,DF,Tottenham,Premier League,24,1999,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,21,57,35,0.08,0,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05
819,819,Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,26,1997,33,28,2570,28.6,16,2,18,15,1,1,4,0,10.8,10,1.3,11.3,17,17,81,0.56,0.07,0.63,0.53,0.6,0.38,0.04,0.42,0.35,0.4
820,820,Julio Enciso,PAR,"MF,FW",Brighton,Premier League,19,2004,12,5,475,5.3,0,2,2,0,0,0,2,0,1.4,1.4,1.7,3.2,28,21,29,0,0.38,0.38,0,0.38,0.27,0.32,0.59,0.27,0.59
821,821,Wataru Endo,JPN,MF,Liverpool,Premier League,30,1993,29,20,1722,19.1,1,0,1,1,0,0,10,0,0.5,0.5,1.7,2.3,10,101,21,0.05,0,0.05,0.05,0.05,0.03,0.09,0.12,0.03,0.12
822,822,Arne Engels,BEL,"MF,DF",Augsburg,Bundesliga,19,2003,32,13,1405,15.6,3,2,5,3,0,0,1,1,1.8,1.8,1.2,3,23,52,62,0.19,0.13,0.32,0.19,0.32,0.12,0.08,0.19,0.12,0.19
823,823,Christian Eriksen,DEN,MF,Manchester Utd,Premier League,31,1992,22,12,1141,12.7,1,2,3,1,0,0,1,0,1,1,2.3,3.3,20,68,23,0.08,0.16,0.24,0.08,0.24,0.08,0.18,0.26,0.08,0.26
824,824,Martin Erlic,CRO,DF,Sassuolo,Serie A,25,1998,32,31,2618,29.1,1,0,1,1,0,0,5,0,1,1,0,1,19,78,11,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03
825,825,Gonzalo Escalante,ARG,MF,Cádiz,La Liga,30,1993,25,18,1697,18.9,1,2,3,1,0,0,2,1,1.9,1.9,1.7,3.6,4,66,14,0.05,0.11,0.16,0.05,0.16,0.1,0.09,0.19,0.1,0.19
826,826,Aarón Escandell,ESP,GK,Las Palmas,La Liga,27,1995,2,1,153,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,827,Alfonso Espino,URU,DF,Rayo Vallecano,La Liga,31,1992,31,29,2507,27.9,0,1,1,0,0,0,9,0,1,1,2.8,3.8,41,113,89,0,0.04,0.04,0,0.04,0.04,0.1,0.14,0.04,0.14
828,828,Bernardo Espinosa,COL,DF,Girona,La Liga,34,1989,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,829,Maxime Estève,FRA,DF,Burnley,Premier League,21,2002,16,15,1309,14.5,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,15,40,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02
830,830,Maxime Estève,FRA,DF,Montpellier,Ligue 1,21,2002,12,12,995,11.1,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,8,23,10,0.09,0.09,0.18,0.09,0.18,0.02,0.02,0.04,0.02,0.04
831,831,Oscar Estupiñan,COL,FW,Metz,Ligue 1,26,1996,6,4,260,2.9,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,5,2,8,0,0,0,0,0,0.18,0.01,0.18,0.18,0.18
832,832,Pervis Estupiñán,ECU,DF,Brighton,Premier League,25,1998,19,15,1243,13.8,2,3,5,2,0,0,4,0,1,1,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32
833,833,Karl Etta,CMR,FW,Cádiz,La Liga,19,2004,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
834,834,Jonny Evans,NIR,DF,Manchester Utd,Premier League,35,1988,23,15,1392,15.5,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.2,7,37,1,0,0.06,0.06,0,0.06,0,0.08,0.08,0,0.08
835,835,Eberechi Eze,ENG,"MF,FW",Crystal Palace,Premier League,25,1998,27,24,2055,22.8,11,4,15,10,1,1,3,0,9.1,8.3,5.2,13.5,68,93,139,0.48,0.18,0.66,0.44,0.61,0.4,0.23,0.62,0.36,0.59
836,836,Abde Ezzalzouli,MAR,"FW,MF",Barcelona,La Liga,21,2001,2,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0,0,0,0,0,0.28,0.09,0.37,0.28,0.37
837,837,Abde Ezzalzouli,MAR,FW,Betis,La Liga,21,2001,26,6,865,9.6,1,0,1,1,0,1,1,0,3,2.2,0.3,2.5,57,25,89,0.1,0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26
838,838,Giovanni Fabbian,ITA,"MF,FW",Bologna,Serie A,20,2003,27,11,1057,11.7,5,2,7,5,0,0,4,0,4.2,4.2,1.9,6,11,17,41,0.43,0.17,0.6,0.43,0.6,0.35,0.16,0.51,0.35,0.51
839,839,Łukasz Fabiański,POL,GK,West Ham,Premier League,38,1985,10,7,721,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
840,840,Nicolò Fagioli,ITA,MF,Juventus,Serie A,22,2001,8,4,437,4.9,0,2,2,0,0,0,1,0,0.4,0.4,0.7,1.1,8,23,15,0,0.41,0.41,0,0.41,0.08,0.15,0.23,0.08,0.23
841,841,Romain Faivre,FRA,"MF,FW",Bournemouth,Premier League,25,1998,5,0,41,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,4,5,4,0,0,0,0,0,0.34,0,0.34,0.34,0.34
842,842,Romain Faivre,FRA,"MF,FW",Lorient,Ligue 1,25,1998,17,16,1453,16.1,5,1,6,5,0,0,1,0,2.8,2.8,1.7,4.5,68,102,78,0.31,0.06,0.37,0.31,0.37,0.17,0.1,0.28,0.17,0.28
843,843,Ilhan Fakili,FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,3,1,94,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,4,7,0,0,0,0,0,0.17,0.03,0.2,0.17,0.2
844,844,Radamel Falcao,COL,"FW,DF",Rayo Vallecano,La Liga,37,1986,22,2,407,4.5,1,0,1,0,1,1,4,0,2.7,2,0.3,2.2,7,7,23,0.22,0,0.22,0,0,0.6,0.06,0.67,0.43,0.49
845,845,Wladimiro Falcone,ITA,GK,Lecce,Serie A,28,1995,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0
846,846,Fali,ESP,DF,Cádiz,La Liga,29,1993,30,30,2547,28.3,0,0,0,0,0,0,12,0,0.8,0.8,0.1,0.9,16,82,10,0,0,0,0,0,0.03,0,0.03,0.03,0.03
847,847,Davide Faraoni,ITA,DF,Hellas Verona,Serie A,31,1991,11,7,602,6.7,0,1,1,0,0,0,5,0,0.4,0.4,0.4,0.8,13,28,31,0,0.15,0.15,0,0.15,0.06,0.05,0.11,0.06,0.11
848,848,Davide Faraoni,ITA,DF,Fiorentina,Serie A,31,1991,8,4,392,4.4,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,7,17,16,0,0.23,0.23,0,0.23,0.02,0.08,0.11,0.02,0.11
849,849,Ansu Fati,ESP,"MF,FW",Brighton,Premier League,20,2002,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73
850,850,Ansu Fati,ESP,"MF,FW",Barcelona,La Liga,20,2002,3,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,6,4,5,0,0,0,0,0,1.34,0,1.34,1.34,1.34
851,851,Khalil Fayad,FRA,"FW,MF",Montpellier,Ligue 1,19,2004,23,11,1025,11.4,3,0,3,3,0,0,2,0,1.9,1.9,0.5,2.4,18,35,47,0.26,0,0.26,0.26,0.26,0.17,0.04,0.21,0.17,0.21
852,852,Federico Fazio,ARG,DF,Salernitana,Serie A,36,1987,17,15,1355,15.1,1,0,1,1,0,0,3,1,0.4,0.4,0.1,0.5,2,27,2,0.07,0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03
853,853,Jacopo Fazzini,ITA,MF,Empoli,Serie A,20,2003,31,14,1232,13.7,1,1,2,1,0,0,6,0,1.2,1.2,2.3,3.5,24,47,51,0.07,0.07,0.15,0.07,0.15,0.09,0.16,0.26,0.09,0.26
854,854,Peter Federico,DOM,"MF,FW",Valencia,La Liga,21,2002,15,5,649,7.2,0,0,0,0,0,0,1,0,1.7,1.7,1,2.7,19,16,48,0,0,0,0,0,0.24,0.14,0.38,0.24,0.38
855,855,Nabil Fekir,FRA,"MF,FW",Betis,La Liga,30,1993,19,10,1049,11.7,1,2,3,1,0,0,1,0,2.2,2.2,2.3,4.6,32,67,77,0.09,0.17,0.26,0.09,0.26,0.19,0.2,0.39,0.19,0.39
856,856,Felipe,BRA,DF,Nott'ham Forest,Premier League,34,1989,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
857,857,Luiz Felipe,ITA,DF,Betis,La Liga,26,1997,4,4,360,4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,4,0,0,0,0,0,0,0.02,0.06,0.07,0.02,0.07
858,858,João Félix,POR,FW,Barcelona,La Liga,23,1999,30,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69
859,859,Ohis Felix Uduokhai,GER,DF,Augsburg,Bundesliga,25,1997,33,33,2921,32.5,2,0,2,2,0,0,5,1,1.4,1.4,0.8,2.2,25,101,6,0.06,0,0.06,0.06,0.06,0.04,0.02,0.07,0.04,0.07
860,860,Kiko Femenía,ESP,DF,Villarreal,La Liga,32,1991,23,16,1583,17.6,0,0,0,0,0,0,8,1,0,0,0.6,0.6,46,100,45,0,0,0,0,0,0,0.04,0.04,0,0.04
861,861,Evan Ferguson,IRL,FW,Brighton,Premier League,18,2004,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.4,0,0.4,0.4,0.4,0.3,0.04,0.34,0.3,0.34
862,862,Lewis Ferguson,SCO,MF,Bologna,Serie A,23,1999,31,31,2712,30.1,6,3,9,6,0,0,8,0,5.4,5.4,2.3,7.7,57,142,138,0.2,0.1,0.3,0.2,0.3,0.18,0.08,0.26,0.18,0.26
863,863,Bruno Fernandes,POR,"MF,FW",Manchester Utd,Premier League,28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,10,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.4,0.29,0.34,0.63,0.18,0.51
864,864,Edimilson Fernandes,SUI,DF,Mainz 05,Bundesliga,27,1996,21,13,1290,14.3,0,2,2,0,0,0,4,0,0.5,0.5,0.7,1.3,9,53,9,0,0.14,0.14,0,0.14,0.04,0.05,0.09,0.04,0.09
865,865,Aitor Fernández,ESP,GK,Osasuna,La Liga,32,1991,7,6,551,6.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
866,866,Álex Fernández,ESP,MF,Cádiz,La Liga,30,1992,26,14,1285,14.3,0,1,1,0,0,0,3,0,0.3,0.3,0.8,1,11,52,26,0,0.07,0.07,0,0.07,0.02,0.05,0.07,0.02,0.07
867,867,Carlos Fernández,ESP,FW,Real Sociedad,La Liga,27,1996,10,5,408,4.5,2,1,3,1,1,1,3,0,1.5,0.7,0.5,1.3,5,4,13,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28
868,868,Enzo Fernández,ARG,MF,Chelsea,Premier League,22,2001,28,26,2209,24.5,3,2,5,2,1,2,7,0,6.2,4.6,3.4,8,52,210,54,0.12,0.08,0.2,0.08,0.16,0.25,0.14,0.39,0.19,0.33
869,869,Raúl Fernández,ESP,GK,Granada,La Liga,35,1988,4,4,280,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,870,Valery Fernández,ESP,"MF,FW",Girona,La Liga,23,1999,27,2,506,5.6,2,0,2,2,0,0,1,0,0.7,0.7,0.8,1.5,20,12,54,0.36,0,0.36,0.36,0.36,0.12,0.14,0.26,0.12,0.26
871,871,Fernando,ESP,GK,Almería,La Liga,33,1990,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,872,Fernando,BRA,MF,Sevilla,La Liga,36,1987,8,5,459,5.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,5,24,7,0,0,0,0,0,0,0.06,0.06,0,0.06
873,873,Ichem Ferrah,FRA,FW,Lille,Ligue 1,17,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
874,874,Andrea Ferraris,ITA,MF,Monza,Serie A,20,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
875,875,André Ferreira,POR,GK,Granada,La Liga,27,1996,15,14,1340,14.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,876,João Ferreira,POR,DF,Udinese,Serie A,22,2001,35,18,1822,20.2,0,1,1,0,0,0,9,0,0.1,0.1,0.9,1,19,61,45,0,0.05,0.05,0,0.05,0.01,0.05,0.05,0.01,0.05
877,877,Jordan Ferri,FRA,MF,Montpellier,Ligue 1,31,1992,30,23,2031,22.6,1,1,2,1,0,0,6,0,0.6,0.6,1.9,2.5,37,173,68,0.04,0.04,0.09,0.04,0.09,0.03,0.09,0.11,0.03,0.11
878,878,Nacho Ferri,ESP,"FW,MF",Eint Frankfurt,Bundesliga,18,2004,8,0,74,0.8,1,0,1,1,0,0,0,0,1.2,1.2,0,1.2,0,2,8,1.22,0,1.22,1.22,1.22,1.43,0.05,1.48,1.43,1.48
879,879,Rachad Fettal,MAR,FW,Almería,La Liga,18,2005,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,2,0,0,0,0,0,0.41,0.12,0.53,0.41,0.53
880,880,Seydou Fini,ITA,"DF,FW",Genoa,Serie A,17,2006,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,2,0,0,0,0,0,0.34,0,0.34,0.34,0.34
881,881,Max Finkgräfe,GER,"DF,FW",Köln,Bundesliga,19,2004,24,18,1756,19.5,1,0,1,1,0,0,4,0,1,1,1.6,2.6,51,53,59,0.05,0,0.05,0.05,0.05,0.05,0.08,0.13,0.05,0.13
882,882,Vincenzo Fiorillo,ITA,GK,Salernitana,Serie A,33,1990,4,4,360,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,883,Kilian Fischer,GER,"DF,MF",Wolfsburg,Bundesliga,22,2000,6,4,291,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,6,9,0,0,0,0,0,0.03,0.03,0.07,0.03,0.07
884,884,John Fleck,SCO,"MF,DF",Sheffield Utd,Premier League,31,1991,4,1,92,1,0,0,0,0,0,0,1,0,0,0,0.4,0.4,2,3,0,0,0,0,0,0,0,0.44,0.44,0,0.44
885,885,Mark Flekken,NED,GK,Brentford,Premier League,30,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0,0,0.5,0.5,0,5,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01
886,886,Alessandro Florenzi,ITA,DF,Milan,Serie A,32,1991,31,19,1732,19.2,1,4,5,1,0,0,5,0,1.7,1.7,3.4,5.1,29,106,50,0.05,0.21,0.26,0.05,0.26,0.09,0.18,0.26,0.09,0.26
