Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA _TakeOn,SCA_Sh,SCA _FoulsDrawn,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TakeOn,GCA_Shot,GCA_FoulsDrawn,GCA_DefAct
827,827,Alfonso Espino (Rayo Vallecano),URU,DF,Rayo Vallecano,La Liga,31,1992,27.9,83,50,86,81,79,73,0,69,35,37,40,0,0,0,0,0
828,828,Bernardo Espinosa (Girona),COL,DF,Girona,La Liga,34,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,829,Maxime Estève (Burnley),FRA,DF,Burnley,Premier League,21,2002,14.5,33,19,33,0,0,0,71,0,35,40,40,0,0,0,0,0
830,830,Maxime Estève (Montpellier),FRA,DF,Montpellier,Ligue 1,21,2002,11.1,39,28,41,59,0,43,0,0,35,42,40,0,0,0,0,0
831,831,Oscar Estupiñan (Metz),COL,FW,Metz,Ligue 1,26,1996,2.9,16,22,12,0,0,43,0,0,0,0,0,0,0,0,0,0
832,832,Pervis Estupiñán (Brighton),ECU,DF,Brighton,Premier League,25,1998,13.8,75,76,80,81,53,43,0,0,51,52,59,0,0,0,0,0
833,833,Karl Etta (Cádiz),CMR,FW,Cádiz,La Liga,19,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,834,Jonny Evans (Manchester Utd),NIR,DF,Manchester Utd,Premier League,35,1988,15.5,39,23,45,0,0,0,0,0,51,50,59,0,0,0,0,0
835,835,Eberechi Eze (Crystal Palace),ENG,"MF,FW",Crystal Palace,Premier League,25,1998,22.8,97,94,91,98,98,94,99,69,94,88,93,0,87,0,97,0
836,836,Abde Ezzalzouli (Barcelona),MAR,"FW,MF",Barcelona,La Liga,21,2001,0.8,16,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0
837,837,Abde Ezzalzouli (Betis),MAR,FW,Betis,La Liga,21,2001,9.6,52,54,47,59,79,43,81,0,51,62,40,90,0,0,0,0
838,838,Giovanni Fabbian (Bologna),ITA,"MF,FW",Bologna,Serie A,20,2003,11.7,56,50,57,0,53,73,0,69,51,57,40,0,87,0,0,0
839,839,Łukasz Fabiański (West Ham),POL,GK,West Ham,Premier League,38,1985,8,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
840,840,Nicolò Fagioli (Juventus),ITA,MF,Juventus,Serie A,22,2001,4.9,47,80,41,89,0,43,0,0,51,84,40,90,0,0,0,0
841,841,Romain Faivre (Bournemouth),FRA,"MF,FW",Bournemouth,Premier League,25,1998,0.5,11,56,0,0,53,0,0,0,0,0,0,0,0,0,0,0
842,842,Romain Faivre (Lorient),FRA,"MF,FW",Lorient,Ligue 1,25,1998,16.1,76,68,72,90,79,73,71,0,82,81,79,0,0,-95,0,0
843,843,Ilhan Fakili (Clermont Foot),FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,1,16,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0
844,844,Radamel Falcao (Rayo Vallecano),COL,"FW,DF",Rayo Vallecano,La Liga,37,1986,4.5,42,72,38,0,0,43,81,69,0,0,0,0,0,0,0,0
845,845,Wladimiro Falcone (Lecce),ITA,GK,Lecce,Serie A,28,1995,38,16,11,0,59,0,0,53,0,35,35,0,0,0,0,85,0
846,846,Fali (Cádiz),ESP,DF,Cádiz,La Liga,29,1993,28.3,48,20,52,59,0,0,0,69,0,0,0,0,0,0,0,0
847,847,Davide Faraoni (Hellas Verona),ITA,DF,Hellas Verona,Serie A,31,1991,6.7,54,77,51,86,0,0,53,69,51,74,59,0,0,0,0,0
848,848,Davide Faraoni (Fiorentina),ITA,DF,Fiorentina,Serie A,31,1991,4.4,33,47,36,0,0,43,0,0,35,65,40,0,0,0,0,0
849,849,Ansu Fati (Brighton),ESP,"MF,FW",Brighton,Premier League,20,2002,5.8,56,88,54,0,53,87,0,69,61,90,59,0,0,-80,0,0
850,850,Ansu Fati (Barcelona),ESP,"MF,FW",Barcelona,La Liga,20,2002,0.6,11,46,0,0,0,43,0,0,0,0,0,0,0,0,0,0
851,851,Khalil Fayad (Montpellier),FRA,"FW,MF",Montpellier,Ligue 1,19,2004,11.4,51,43,43,0,0,61,94,69,0,0,0,0,0,0,0,0
852,852,Federico Fazio (Salernitana),ARG,DF,Salernitana,Serie A,36,1987,15.1,35,20,36,0,0,61,0,0,51,50,40,0,0,-80,0,0
853,853,Jacopo Fazzini (Empoli),ITA,MF,Empoli,Serie A,20,2003,13.7,79,83,73,92,70,0,91,96,71,73,59,0,87,0,85,0
854,854,Peter Federico (Valencia),DOM,"MF,FW",Valencia,La Liga,21,2002,7.2,44,50,38,74,70,43,53,0,35,52,0,0,0,0,85,0
855,855,Nabil Fekir (Betis),FRA,"MF,FW",Betis,La Liga,30,1993,11.7,86,95,81,93,79,73,91,0,61,70,59,0,87,0,0,0
856,856,Felipe (Nott'ham Forest),BRA,DF,Nott'ham Forest,Premier League,34,1989,4.2,23,28,19,0,0,43,0,69,0,0,0,0,0,0,0,0
857,857,Luiz Felipe (Betis),ITA,DF,Betis,La Liga,26,1997,4,16,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0
858,858,João Félix (Barcelona),POR,FW,Barcelona,La Liga,23,1999,17.1,87,85,85,0,94,97,71,69,90,91,79,0,96,-99,0,0
859,859,Ohis Felix Uduokhai (Augsburg),GER,DF,Augsburg,Bundesliga,25,1997,32.5,52,21,47,74,0,61,53,96,0,0,0,0,0,0,0,0
860,860,Kiko Femenía (Villarreal),ESP,DF,Villarreal,La Liga,32,1991,17.6,65,45,69,84,0,0,0,69,71,65,70,90,0,0,0,0
861,861,Evan Ferguson (Brighton),IRL,FW,Brighton,Premier League,18,2004,15.2,55,37,52,0,70,43,81,69,35,40,0,0,0,0,85,0
862,862,Lewis Ferguson (Bologna),SCO,MF,Bologna,Serie A,23,1999,30.1,93,70,95,74,70,87,94,69,90,74,88,0,87,0,97,0
863,863,Bruno Fernandes (Manchester Utd),POR,"MF,FW",Manchester Utd,Premier League,28,1994,34.6,100,97,100,100,94,97,53,88,99,91,98,98,96,-95,0,0
864,864,Edimilson Fernandes (Mainz 05),SUI,DF,Mainz 05,Bundesliga,27,1996,14.3,69,62,52,95,53,73,0,69,51,52,40,90,0,0,0,0
865,865,Aitor Fernández (Osasuna),ESP,GK,Osasuna,La Liga,32,1991,6.1,11,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
866,866,Álex Fernández (Cádiz),ESP,MF,Cádiz,La Liga,30,1992,14.3,60,47,56,90,0,61,0,0,51,52,59,0,0,0,0,0
867,867,Carlos Fernández (Real Sociedad),ESP,FW,Real Sociedad,La Liga,27,1996,4.5,20,21,19,0,0,0,0,69,35,64,40,0,0,0,0,0
868,868,Enzo Fernández (Chelsea),ARG,MF,Chelsea,Premier League,22,2001,24.5,93,81,96,86,0,73,91,0,85,73,85,90,0,0,85,0
869,869,Raúl Fernández (Granada),ESP,GK,Granada,La Liga,35,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,870,Valery Fernández (Girona),ESP,"MF,FW",Girona,La Liga,23,1999,5.6,44,64,43,59,70,0,53,0,61,91,40,0,87,0,85,0
871,871,Fernando (Almería),ESP,GK,Almería,La Liga,33,1990,4,11,14,12,0,0,0,0,0,35,68,40,0,0,0,0,0
872,872,Fernando (Sevilla),BRA,MF,Sevilla,La Liga,36,1987,5.1,33,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0
873,873,Ichem Ferrah (Lille),FRA,FW,Lille,Ligue 1,17,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,874,Andrea Ferraris (Monza),ITA,MF,Monza,Serie A,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,875,André Ferreira (Granada),POR,GK,Granada,La Liga,27,1996,14.9,16,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0
876,876,João Ferreira (Udinese),POR,DF,Udinese,Serie A,22,2001,20.2,68,43,67,84,0,0,53,98,51,45,40,90,0,0,0,0
877,877,Jordan Ferri (Montpellier),FRA,MF,Montpellier,Ligue 1,31,1992,22.6,88,74,93,74,70,43,81,69,51,43,59,0,0,0,0,0
878,878,Nacho Ferri (Eint Frankfurt),ESP,"FW,MF",Eint Frankfurt,Bundesliga,18,2004,0.8,16,62,12,0,0,43,0,0,35,99,40,0,0,0,0,0
879,879,Rachad Fettal (Almería),MAR,FW,Almería,La Liga,18,2005,0.2,16,99,19,0,0,0,0,0,0,0,0,0,0,0,0,0
880,880,Seydou Fini (Genoa),ITA,"DF,FW",Genoa,Serie A,17,2006,0.4,11,64,12,0,0,0,0,0,0,0,0,0,0,0,0,0
881,881,Max Finkgräfe (Köln),GER,"DF,FW",Köln,Bundesliga,19,2004,19.5,73,53,70,89,79,43,53,88,35,38,40,0,0,0,0,0
882,882,Vincenzo Fiorillo (Salernitana),ITA,GK,Salernitana,Serie A,33,1990,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,883,Kilian Fischer (Wolfsburg),GER,"DF,MF",Wolfsburg,Bundesliga,22,2000,3.2,28,47,33,0,0,0,0,0,0,0,0,0,0,0,0,0
884,884,John Fleck (Sheffield Utd),SCO,"MF,DF",Sheffield Utd,Premier League,31,1991,1,23,88,27,0,0,0,0,0,0,0,0,0,0,0,0,0
885,885,Mark Flekken (Brentford),NED,GK,Brentford,Premier League,30,1993,36.5,38,15,24,90,0,0,0,0,61,42,40,96,0,0,0,0
886,886,Alessandro Florenzi (Milan),ITA,DF,Milan,Serie A,32,1991,19.2,94,92,87,98,0,94,53,88,85,80,59,99,0,-80,0,0
887,887,Phil Foden (Manchester City),ENG,"FW,MF",Manchester City,Premier League,23,2000,31.7,99,92,99,92,96,91,98,69,99,94,100,90,87,0,99,0
888,888,Wes Foderingham (Sheffield Utd),ENG,GK,Sheffield Utd,Premier League,32,1991,29.4,23,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0
889,889,Malick Fofana (Lyon),BEL,FW,Lyon,Ligue 1,18,2005,6.2,51,76,45,0,70,73,71,69,61,88,40,0,0,-80,85,0
890,890,Youssouf Fofana (Monaco),FRA,MF,Monaco,Ligue 1,24,1999,30,96,81,97,81,70,99,71,96,92,78,88,0,0,-100,0,0
891,891,Jonas Föhrenbach (Heidenheim),GER,DF,Heidenheim,Bundesliga,27,1996,31,80,41,80,91,70,43,71,0,77,55,79,90,0,0,0,0
892,892,Thomas Foket (Reims),BEL,DF,Reims,Ligue 1,28,1994,20.4,64,38,70,74,0,43,0,0,82,74,88,0,0,0,0,0
893,893,Michael Folorunsho (Hellas Verona),ITA,"MF,FW",Hellas Verona,Serie A,25,1998,30.9,78,38,78,0,85,43,97,0,61,45,40,0,96,0,0,0
894,894,Tiago Fonseca Morais (Lille),POR,FW,Lille,Ligue 1,19,2003,0.5,11,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0
895,895,Pablo Fornals (West Ham),ESP,"MF,FW",West Ham,Premier League,27,1996,4.7,47,81,49,0,0,0,53,88,35,62,0,0,0,0,0,96
896,896,Pablo Fornals (Betis),ESP,"FW,MF",Betis,La Liga,27,1996,12.8,77,83,80,81,70,61,53,0,82,88,85,0,0,-80,0,0
897,897,Emil Forsberg (RB Leipzig),SWE,"MF,FW",RB Leipzig,Bundesliga,31,1991,5.2,47,77,45,74,0,73,0,0,71,97,70,0,0,-80,0,0
898,898,Omari Forson (Manchester Utd),ENG,FW,Manchester Utd,Premier League,19,2004,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,899,Philipp Förster (Bochum),GER,"MF,FW",Bochum,Bundesliga,28,1995,4.3,51,92,38,90,0,61,53,69,0,0,0,0,0,0,0,0
900,900,Héctor Fort (Barcelona),ESP,DF,Barcelona,La Liga,16,2006,3.5,26,36,30,0,0,0,0,0,61,97,70,0,0,0,0,0
901,901,Lyle Foster (Burnley),RSA,"FW,MF",Burnley,Premier League,22,2000,21.1,74,50,79,0,70,73,53,0,71,60,79,0,0,0,0,0
902,902,Dimitri Foulquier (Valencia),FRA,"DF,MF",Valencia,La Liga,30,1993,20.5,61,34,62,74,0,0,53,96,51,45,59,0,0,0,0,0
903,903,Juan Foyth (Villarreal),ARG,DF,Villarreal,La Liga,25,1998,11.8,40,30,41,59,53,43,0,0,35,42,40,0,0,0,0,0
904,904,Matheus França (Crystal Palace),BRA,"MF,FW",Crystal Palace,Premier League,19,2004,2.6,33,77,27,81,0,0,53,0,51,97,40,0,0,0,85,0
905,905,Bartol Franjić (Darmstadt 98),CRO,MF,Darmstadt 98,Bundesliga,23,2000,13.7,48,33,51,59,0,0,0,88,51,53,59,0,0,0,0,0
906,906,Przemysław Frankowski (Lens),POL,DF,Lens,Ligue 1,28,1995,24.4,91,77,94,91,70,61,0,69,71,55,70,0,0,-80,0,0
907,907,Nathan Fraser (Wolves),IRL,FW,Wolves,Premier League,18,2005,2.1,28,73,30,0,0,43,0,0,0,0,0,0,0,0,0,0
908,908,Davide Frattesi (Inter),ITA,MF,Inter,Serie A,23,1999,10.6,60,63,62,0,0,73,71,0,82,92,79,0,0,-80,85,0
909,909,Jean Frederic N'Guessan (Metz),CIV,"MF,FW",Metz,Ligue 1,20,2003,1.2,23,79,12,0,53,0,53,69,0,0,0,0,0,0,0,0
910,910,Morten Frendrup (Genoa),DEN,MF,Genoa,Serie A,22,2001,34.9,85,43,86,0,53,81,94,98,90,70,93,0,0,-80,0,0
911,911,Remo Freuler (Bologna),SUI,MF,Bologna,Serie A,31,1992,29.2,84,49,89,74,53,43,53,69,77,57,79,0,0,-80,0,0
912,912,Marco Friedl (Werder Bremen),AUT,DF,Werder Bremen,Bundesliga,25,1998,24.4,23,13,27,0,0,0,0,0,35,37,40,0,0,0,0,0
913,913,Marvin Friedrich (Gladbach),GER,DF,Gladbach,Bundesliga,27,1995,17.4,44,25,45,0,53,61,0,0,35,39,40,0,0,0,0,0
914,914,Jeremie Frimpong (Leverkusen),NED,DF,Leverkusen,Bundesliga,22,2000,25,94,81,93,0,99,87,91,0,90,80,88,0,96,0,85,0
915,915,Jorge de Frutos (Rayo Vallecano),ESP,"FW,MF",Rayo Vallecano,La Liga,26,1997,17.2,81,74,81,81,85,73,71,69,35,39,0,0,0,-80,0,0
916,916,Chris Führich (Stuttgart),GER,"FW,MF",Stuttgart,Bundesliga,25,1998,28.5,99,93,99,96,99,97,71,69,98,93,99,90,96,0,0,0
917,917,Shiō Fukuda (Gladbach),JPN,"FW,MF",Gladbach,Bundesliga,19,2004,0.4,16,94,19,0,0,0,0,0,0,0,0,0,0,0,0,0
918,918,Angelo Fulgini (Lens),FRA,MF,Lens,Ligue 1,26,1996,15.3,89,92,83,96,53,81,87,0,71,70,59,96,0,0,0,0
919,919,Niclas Füllkrug (Werder Bremen),GER,FW,Werder Bremen,Bundesliga,30,1993,2,31,83,33,0,0,43,0,0,0,0,0,0,0,0,0,0
920,920,Niclas Füllkrug (Dortmund),GER,FW,Dortmund,Bundesliga,30,1993,24.6,84,60,89,0,0,81,81,0,94,87,96,0,0,-80,0,0
921,921,Gerardo Fusco (Salernitana),ITA,FW,Salernitana,Serie A,18,2005,0.2,16,99,19,0,0,0,0,0,0,0,0,0,0,0,0,0
922,922,Daniel Fuzato (Getafe),BRA,GK,Getafe,La Liga,26,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,923,Matteo Gabbia (Milan),ITA,DF,Milan,Serie A,23,1999,14.2,33,19,27,59,0,61,0,69,35,40,0,0,0,-80,0,0
924,924,Matteo Gabbia (Villarreal),ITA,DF,Villarreal,La Liga,23,1999,5.3,26,28,30,0,0,0,0,0,35,60,40,0,0,0,0,0
925,925,Gianluca Gaetano (Cagliari),ITA,"FW,MF",Cagliari,Serie A,23,2000,8.3,68,90,70,59,79,43,71,0,61,80,40,0,87,-80,0,0
926,926,Gianluca Gaetano (Napoli),ITA,MF,Napoli,Serie A,23,2000,1.8,33,92,36,0,0,0,53,0,35,92,0,0,0,0,85,0
927,927,Roberto Gagliardini (Monza),ITA,"MF,DF",Monza,Serie A,29,1994,26.2,81,50,86,74,0,43,81,0,61,46,70,0,0,0,0,0
928,928,Cody Gakpo (Liverpool),NED,"FW,MF",Liverpool,Premier League,24,1999,18.3,90,89,87,59,92,99,91,88,92,91,88,0,87,-95,85,0
929,929,Javi Galán (Atlético Madrid),ESP,DF,Atlético Madrid,La Liga,28,1994,1,23,89,19,59,53,0,0,0,0,0,0,0,0,0,0,0
930,930,Javi Galán (Real Sociedad),ESP,DF,Real Sociedad,La Liga,28,1994,11.9,55,47,59,74,0,43,0,0,61,68,70,0,0,0,0,0
931,931,Iñigo Ruiz de Galarreta (Athletic Club),ESP,MF,Athletic Club,La Liga,29,1993,23.2,84,62,84,94,0,0,71,0,90,83,95,0,0,0,0,0
932,932,Pablo Galdames Millán (Genoa),CHI,"MF,DF",Genoa,Serie A,26,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,933,Conor Gallagher (Chelsea),ENG,MF,Chelsea,Premier League,23,2000,34.8,97,77,97,95,89,81,53,100,97,84,91,99,0,-80,0,96
934,934,Antonino Gallo (Lecce),ITA,DF,Lecce,Serie A,23,2000,27.7,90,67,91,93,85,43,53,69,71,52,79,0,0,0,0,0
935,935,Cristian Gamboa (Bochum),CRC,DF,Bochum,Bundesliga,33,1989,13.2,52,39,52,81,0,61,0,0,51,53,40,90,0,0,0,0
936,936,Kévin Gameiro (Strasbourg),FRA,"FW,MF",Strasbourg,Ligue 1,36,1987,15,82,83,85,0,70,91,53,0,77,78,59,0,0,-99,0,0
937,937,Idrissa Gana Gueye (Everton),SEN,MF,Everton,Premier League,33,1989,20.9,82,64,80,0,0,87,87,100,71,60,79,0,0,0,0,0
938,938,Ignatius Ganago (Nantes),CMR,"FW,MF",Nantes,Ligue 1,24,1999,2,26,63,27,0,0,0,0,69,0,0,0,0,0,0,0,0
939,939,Aleix García (Girona),ESP,MF,Girona,La Liga,26,1997,35.5,99,85,98,99,53,43,87,69,99,93,100,99,0,0,0,0
940,940,Álvaro García (Rayo Vallecano),ESP,"FW,MF",Rayo Vallecano,La Liga,30,1992,27.5,92,72,93,86,79,81,94,96,77,58,79,0,0,0,85,0
941,941,Dani García (Athletic Club),ESP,MF,Athletic Club,La Liga,33,1990,8.3,20,16,19,0,0,0,0,69,0,0,0,0,0,0,0,0
942,942,David García (Osasuna),ESP,DF,Osasuna,La Liga,29,1994,25.9,49,22,54,0,0,43,0,69,61,49,59,0,0,-80,0,0
943,943,Eric García (Barcelona),ESP,DF,Barcelona,La Liga,22,2001,0.6,11,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0
944,944,Eric García (Girona),ESP,DF,Girona,La Liga,22,2001,29.3,75,37,82,0,0,61,53,0,82,61,88,0,0,0,0,0
945,945,Fran Garcia (Real Madrid),ESP,DF,Real Madrid,La Liga,23,1999,15.5,68,56,76,0,70,0,0,0,71,70,79,0,0,0,0,0
946,946,Francisco Jesús Crespo García (Las Palmas),ESP,FW,Las Palmas,La Liga,27,1996,5.6,51,82,49,74,70,61,0,0,0,0,0,0,0,0,0,0
947,947,Gonzalo García (Real Madrid),ESP,"FW,MF",Real Madrid,La Liga,19,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948,948,Jastin García (Girona),ESP,FW,Girona,La Liga,19,2004,0.4,11,71,0,0,0,0,53,0,0,0,0,0,0,0,0,0
949,949,Raúl García (Athletic Club),ESP,"FW,MF",Athletic Club,La Liga,37,1986,4.7,23,26,24,0,0,0,0,69,0,0,0,0,0,0,0,0
950,950,Rubén García (Osasuna),ESP,"FW,MF",Osasuna,La Liga,30,1993,17.2,88,87,80,95,94,61,94,0,77,73,79,0,0,0,85,0
951,951,Ulisses Garcia (Marseille),SUI,DF,Marseille,Ligue 1,27,1996,10.1,49,46,47,81,79,0,0,0,0,0,0,0,0,0,0,0
952,952,Unai García (Osasuna),ESP,DF,Osasuna,La Liga,31,1992,6.2,16,16,0,74,0,0,0,0,0,0,0,0,0,0,0,0
953,953,Alejandro Garnacho (Manchester Utd),ARG,FW,Manchester Utd,Premier League,19,2004,28.5,98,90,98,0,99,100,99,69,98,91,96,0,87,-80,97,96
954,954,James Garner (Everton),ENG,MF,Everton,Premier League,22,2001,33.4,96,74,93,97,79,91,87,99,88,67,70,90,0,-80,85,100
955,955,Luca Garritano (Frosinone),ITA,"MF,DF",Frosinone,Serie A,29,1994,5.4,46,70,43,81,0,0,71,0,61,92,59,90,0,0,0,0
956,956,Johan Gastien (Clermont Foot),FRA,MF,Clermont Foot,Ligue 1,35,1988,25.1,87,65,87,93,0,43,71,88,71,55,79,0,0,0,0,0
957,957,Federico Gatti (Juventus),ITA,DF,Juventus,Serie A,25,1998,29.3,63,29,65,0,70,61,53,69,51,40,40,0,0,-80,0,0
958,958,Federico Gattoni (Sevilla),ARG,"DF,FW",Sevilla,La Liga,24,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,959,Gavi (Barcelona),ESP,"MF,FW",Barcelona,La Liga,18,2004,10.5,61,66,66,0,70,0,0,69,61,73,70,0,0,0,0,0
960,960,Paulo Gazzaniga (Girona),ARG,GK,Girona,La Liga,31,1992,38,39,15,38,81,0,0,0,0,35,35,40,0,0,0,0,0
961,961,Yann Gboho (Toulouse),FRA,"MF,FW",Toulouse,Ligue 1,22,2001,13.3,72,74,70,0,94,43,87,0,85,91,85,0,0,0,97,0
962,962,Dennis Geiger (Hoffenheim),GER,MF,Hoffenheim,Bundesliga,25,1998,0.7,11,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0
963,963,Gelabert (Toulouse),ESP,"MF,FW",Toulouse,Ligue 1,22,2000,8.4,54,64,52,81,53,43,53,0,61,80,59,90,0,0,0,0
964,964,Francesco Gelli (Frosinone),ITA,"MF,DF",Frosinone,Serie A,26,1996,17.3,79,70,70,95,53,43,87,69,61,57,0,96,0,0,85,0
965,965,Luca Gemello (Torino),ITA,GK,Torino,Serie A,23,2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966,966,Valentin Gendrey (Lecce),FRA,DF,Lecce,Serie A,23,2000,33.8,87,48,87,90,89,61,71,0,61,43,59,0,87,0,0,0
967,967,Denis Genreau (Toulouse),AUS,"MF,FW",Toulouse,Ligue 1,24,1999,5.2,42,65,47,0,0,43,0,0,0,0,0,0,0,0,0,0
968,968,Yannick Gerhardt (Wolfsburg),GER,"MF,DF",Wolfsburg,Bundesliga,29,1994,18.1,69,49,76,0,0,43,71,0,35,39,40,0,0,0,0,0
969,969,Anwar El Ghazi (Mainz 05),NED,"MF,DF",Mainz 05,Bundesliga,28,1995,0.6,23,98,19,0,70,0,0,0,35,99,40,0,0,0,0,0
970,970,Farés Ghedjemis (Frosinone),FRA,"FW,MF",Frosinone,Serie A,20,2002,2,23,51,24,0,53,0,0,0,35,89,0,0,87,0,0,0
971,971,Saman Ghoddos (Brentford),IRN,DF,Brentford,Premier League,29,1993,8.2,52,62,43,86,53,0,81,69,0,0,0,0,0,0,0,0
972,972,Lautaro Gianetti (Udinese),ARG,DF,Udinese,Serie A,29,1993,7,20,17,19,0,0,43,0,0,0,0,0,0,0,0,0,0
973,973,Morgan Gibbs-White (Nott'ham Forest),ENG,"MF,FW",Nott'ham Forest,Premier League,23,2000,35.1,99,91,98,99,96,94,98,69,99,90,99,98,0,-80,0,0
974,974,Samuel Gigot (Marseille),FRA,DF,Marseille,Ligue 1,29,1993,19.2,61,36,56,81,53,87,53,0,71,62,40,0,0,-99,0,0
975,975,Bryan Gil (Tottenham),ESP,"FW,MF",Tottenham,Premier League,22,2001,2.3,35,88,38,0,0,43,0,0,35,85,40,0,0,0,0,0
976,976,David Gil (Cádiz),ESP,GK,Cádiz,La Liga,29,1994,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,977,Mario Gila (Lazio),ESP,DF,Lazio,Serie A,22,2000,20.1,44,23,49,0,0,43,0,0,0,0,0,0,0,0,0,0
978,978,Alfie Gilchrist (Chelsea),ENG,DF,Chelsea,Premier League,19,2003,2.3,20,34,19,59,0,0,0,0,0,0,0,0,0,0,0,0
979,979,Billy Gilmour (Brighton),SCO,MF,Brighton,Premier League,22,2001,23.6,89,74,93,86,0,61,81,0,82,68,85,0,0,-80,0,0
980,980,Benedikt Gimber (Heidenheim),GER,DF,Heidenheim,Bundesliga,26,1997,22.5,33,16,36,0,0,43,0,0,51,43,59,0,0,0,0,0
981,981,Gvidas Gineitis (Torino),LTU,MF,Torino,Serie A,19,2004,6,47,68,41,86,53,43,0,0,0,0,0,0,0,0,0,0
982,982,Matthias Ginter (Freiburg),GER,DF,Freiburg,Bundesliga,29,1994,21.3,62,34,65,59,0,43,71,69,71,60,70,0,0,0,0,96
983,983,Olivier Giroud (Milan),FRA,FW,Milan,Serie A,36,1986,26.3,81,50,84,0,0,97,0,69,96,89,95,0,0,-100,0,0
984,984,Klaus Gjasula (Darmstadt 98),ALB,"DF,MF",Darmstadt 98,Bundesliga,33,1989,15.1,44,28,47,59,0,0,0,69,0,0,0,0,0,0,0,0
985,985,Serge Gnabry (Bayern Munich),GER,"FW,MF",Bayern Munich,Bundesliga,28,1995,4.8,51,88,47,0,53,87,53,0,51,85,40,0,0,0,85,0
986,986,Ben Godfrey (Everton),ENG,DF,Everton,Premier League,25,1998,12.4,48,36,41,59,0,87,0,88,61,67,40,0,0,-80,0,96
987,987,Edoardo Goldaniga (Cagliari),ITA,DF,Cagliari,Serie A,29,1993,11.2,46,35,45,0,0,73,0,69,35,43,0,0,0,-80,0,0
988,988,Pierluigi Gollini (Napoli),ITA,GK,Napoli,Serie A,28,1995,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,989,Aleksandr Golovin (Monaco),RUS,"MF,FW",Monaco,Ligue 1,27,1996,23.9,96,91,94,98,79,73,81,88,85,73,88,0,0,-80,0,0
990,990,André Gomes (Everton),POR,"MF,FW",Everton,Premier League,30,1993,5.6,49,78,49,0,53,61,53,69,35,58,40,0,0,0,0,0
991,991,Angel Gomes (Lille),ENG,MF,Lille,Ligue 1,22,2000,28.6,97,86,97,94,85,94,99,88,95,85,93,98,0,-80,0,0
992,992,João Gomes (Wolves),BRA,MF,Wolves,Premier League,22,2001,29.4,88,57,88,84,70,81,71,99,71,52,70,0,0,-80,0,0
993,993,Toti Gomes (Wolves),POR,DF,Wolves,Premier League,24,1999,30.8,54,22,54,59,53,73,0,0,71,50,70,0,0,-80,0,0
994,994,Joe Gomez (Liverpool),ENG,DF,Liverpool,Premier League,26,1997,19.8,81,66,85,0,53,81,81,0,77,68,79,0,0,-80,0,0
995,995,Maxi Gómez (Cádiz),URU,FW,Cádiz,La Liga,26,1996,12.9,54,42,49,0,0,73,87,69,35,42,0,0,0,-80,0,0
996,996,Moi Gómez (Osasuna),ESP,"MF,FW",Osasuna,La Liga,29,1994,22.3,86,69,84,94,79,43,71,0,51,43,0,90,0,-80,0,0
997,997,Papu Gómez (Monza),ARG,"MF,FW",Monza,Serie A,35,1988,0.5,26,99,27,59,0,0,0,0,0,0,0,0,0,0,0,0
998,998,Sergio Gómez (Manchester City),ESP,"FW,MF",Manchester City,Premier League,22,2000,0.6,16,80,12,0,53,0,0,0,51,100,40,0,87,0,0,0
999,999,Unai Gómez (Athletic Club),ESP,MF,Athletic Club,La Liga,20,2003,9.7,59,66,51,89,53,61,53,69,51,62,59,0,0,0,0,0
