Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Live_Touches,TakeOns_Att,TakeOns_Succ,TakeOns_Succ%,Tkld_TakeOns ,Tkld_TakeOns%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,Miscontrolled,Dispossessed,Passes_received,Prog_passes_received
60,60,David Akpan Ankeye (Genoa),NGA,FW,Genoa,Serie A,21,2002,0.6,8,0,6,11,20,16,8,34,30,32,40,84,9,12,13,27,18,36,20,0,8,21
61,61,Kevin Akpoguma (Hoffenheim),NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,62,76,77,69,39,29,62,52,62,87,45,23,61,57,56,44,51,49,44,21,64,37
62,62,David Alaba (Real Madrid),AUT,DF,Real Madrid,La Liga,31,1992,12.8,68,86,83,70,44,43,68,0,0,0,0,0,77,74,78,42,51,0,31,21,74,42
63,63,Luis Alberto (Lazio),ESP,MF,Lazio,Serie A,30,1992,25.7,93,50,67,95,97,86,93,86,89,71,78,32,91,89,93,96,96,83,81,86,95,89
64,64,Raúl Albiol (Villarreal),ESP,DF,Villarreal,La Liga,37,1985,22.6,85,93,93,80,27,49,85,0,0,0,0,0,82,84,87,40,18,0,44,35,87,0
65,65,Thiago Alcántara (Liverpool),ESP,MF,Liverpool,Premier League,32,1991,0.1,5,0,9,10,9,0,5,0,0,0,0,0,8,6,7,0,0,0,0,0,7,0
66,66,Carlos Alcaraz (Juventus),ARG,MF,Juventus,Serie A,20,2002,4.2,29,29,23,38,42,45,29,44,37,18,50,78,31,31,30,34,56,36,39,40,31,37
67,67,Rubén Alcaraz (Cádiz),ESP,MF,Cádiz,La Liga,32,1991,34.8,94,80,83,97,81,68,94,67,64,42,68,58,90,85,77,71,78,58,76,88,91,60
68,68,Omar Alderete (Getafe),PAR,DF,Getafe,La Liga,26,1996,24.4,80,86,88,83,43,71,80,52,62,87,40,15,74,79,88,66,56,0,39,45,72,37
69,69,Iván Alejo (Cádiz),ESP,MF,Cádiz,La Liga,28,1995,18.8,55,53,54,50,82,59,55,91,88,31,92,71,55,66,65,86,89,36,93,89,52,85
70,70,Carles Aleñá (Getafe),ESP,MF,Getafe,La Liga,25,1998,11.3,47,40,40,51,69,60,47,72,51,9,85,92,47,42,34,48,58,68,72,78,48,65
71,71,Trent Alexander-Arnold (Liverpool),ENG,DF,Liverpool,Premier League,24,1998,23.9,98,76,85,98,95,73,98,89,91,68,86,42,95,91,89,85,92,76,74,48,96,83
72,72,Aboubacar Ali (Strasbourg),FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,15,10,9,18,31,34,15,27,21,18,33,89,16,20,15,27,18,36,28,28,15,40
73,73,Mohamed Ali Cho (Real Sociedad),FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,21,0,15,26,36,39,21,63,55,23,63,52,22,27,32,56,51,64,44,28,21,48
74,74,Mohamed Ali Cho (Nice),FRA,FW,Nice,Ligue 1,19,2004,9.6,38,19,30,40,64,75,38,81,78,38,83,61,45,56,61,86,80,89,63,75,42,77
75,75,Faride Alidou (Köln),GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,45,40,42,47,72,83,45,93,88,22,95,76,47,61,60,88,73,91,85,88,46,82
76,76,Nabil Alioui (Le Havre),FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,44,27,33,48,69,72,44,81,76,31,86,78,49,52,50,65,68,76,69,76,45,75
77,77,Alisson (Liverpool),BRA,GK,Liverpool,Premier League,30,1992,28,76,97,97,27,0,0,76,0,0,0,0,0,84,76,84,0,0,0,28,0,76,0
